,player_id,First Name,Last Name,Hand,Country,Height,Elo Rating,Clay Elo Rating,Hard Elo Rating,Grass Elo Rating,Carpet Elo Rating,n_games,last_game
67,136440,Dominik,Koepfer,L,GER,180,1635.0,1569.0,1540.0,1498.0,1500.0,133,2024-02-02
68,106426,Cristian,Garin,R,CHI,185,1634.0,1500.0,1501.0,1472.0,1500.0,251,2024-09-11
69,105575,Ricardas,Berankis,R,LTU,175,1633.0,1507.0,1513.0,1457.0,1490.0,288,2024-02-03
70,126846,Aleksandar,Vukic,R,AUS,188,1632.0,1497.0,1574.0,1512.0,1500.0,94,2024-10-14
71,209098,Hamad,Medjedovic,R,SRB,188,1631.0,1570.0,1562.0,1481.0,1500.0,39,2024-11-04
72,105577,Vasek,Pospisil,R,CAN,193,1630.0,1492.0,1498.0,1559.0,1488.0,313,2024-02-02
73,106148,Roberto,Carballes Baena,R,ESP,183,1629.0,1493.0,1548.0,1461.0,1500.0,265,2024-11-04
74,122298,Botic,Van De Zandschulp,R,NED,191,1628.0,1466.0,1546.0,1459.0,1500.0,186,2024-02-02
75,200175,Miomir,Kecmanovic,R,SRB,183,1628.0,1468.0,1510.0,1521.0,1500.0,293,2024-09-14
76,105723,Andrey,Kuznetsov,R,RUS,183,1625.0,1500.0,1480.0,1545.0,1500.0,180,2023-08-21
77,104545,John,Isner,R,USA,208,1623.0,1522.0,1530.0,1543.0,1500.0,809,2023-08-28
78,126239,Arthur,Rinderknech,R,FRA,196,1623.0,1510.0,1518.0,1450.0,1500.0,157,2024-09-14
79,202104,Sebastian,Baez,R,ARG,170,1621.0,1519.0,1482.0,1501.0,1500.0,179,2024-02-03
80,127339,Borna,Gojo,R,CRO,196,1621.0,1490.0,1500.0,1487.0,1500.0,42,2024-09-13
81,111797,Nicolas,Jarry,R,CHI,201,1621.0,1536.0,1512.0,1500.0,1500.0,228,2024-02-03
82,132283,Lorenzo,Sonego,R,ITA,191,1620.0,1492.0,1518.0,1500.0,1500.0,298,2024-11-04
83,104918,Andy,Murray,R,GBR,191,1618.0,1459.0,1522.0,1526.0,1576.0,1017,2024-06-17
84,111581,Michael,Mmoh,R,USA,188,1616.0,1523.0,1481.0,1490.0,1500.0,70,2024-04-01
85,104527,Stan,Wawrinka,R,SUI,183,1616.0,1541.0,1521.0,1497.0,1521.0,948,2024-11-04
86,105985,Darian,King,R,BAR,188,1615.0,1489.0,1500.0,1500.0,1500.0,52,2024-02-03
87,111190,Zhizhen,Zhang,R,CHN,193,1613.0,1483.0,1467.0,1539.0,1500.0,114,2024-02-02
88,122330,Alexander,Bublik,R,KAZ,196,1613.0,1401.0,1462.0,1534.0,1500.0,302,2024-09-14
89,105583,Dusan,Lajovic,R,SRB,183,1613.0,1497.0,1490.0,1508.0,1500.0,463,2024-09-14
90,125802,Ilya,Ivashka,R,BLR,193,1609.0,1406.0,1465.0,1500.0,1500.0,178,2023-08-28
91,206681,Fabian,Marozsan,R,HUN,193,1608.0,1485.0,1460.0,1502.0,1500.0,72,2024-02-02
92,132686,Nuno,Borges,R,POR,185,1607.0,1505.0,1465.0,1547.0,1500.0,89,2024-02-02
93,106378,Kyle,Edmund,R,GBR,188,1604.0,1489.0,1465.0,1507.0,1500.0,247,2023-05-08
94,209992,Juncheng,Shang,L,CHN,180,1604.0,1496.0,1553.0,1440.0,1500.0,62,2024-12-18
95,106432,Borna,Coric,R,CRO,188,1604.0,1530.0,1523.0,1498.0,1500.0,419,2024-10-14
96,200267,Zizou,Bergs,R,BEL,185,1603.0,1505.0,1582.0,1554.0,1500.0,60,2024-02-03
97,111513,Laslo,Djere,R,SRB,188,1602.0,1489.0,1558.0,1512.0,1500.0,293,2024-02-02
98,111456,Mackenzie,Mcdonald,R,USA,178,1602.0,1505.0,1468.0,1528.0,1500.0,230,2024-09-13
99,111460,Quentin,Halys,R,FRA,191,1601.0,1512.0,1507.0,1535.0,1500.0,97,2024-02-03
100,104898,Robin,Haase,R,NED,191,1599.0,1496.0,1580.0,1452.0,1527.0,505,2024-07-29
101,105732,Pierre Hugues,Herbert,R,FRA,188,1598.0,1482.0,1506.0,1543.0,1500.0,228,2024-11-04
102,106331,Christopher,Oconnell,R,AUS,183,1598.0,1494.0,1492.0,1500.0,1500.0,117,2024-11-04
