player_id,wikidata_id,First Name,Last Name,Hand,Country,Height
200162,Q19276930,Judith,Salome,U,NED,0
200163,NOID,Helen,Oconnor,U,AUS,0
200164,NOID,Joan,Johnson,U,USA,0
200165,Q6487683,Lany,Kaligis,U,INA,0
200166,NOID,Patricia,Edwards,U,AUS,0
200167,NOID,Heather,Mckechnie,U,AUS,0
200168,Q299601,Karen,Krantzcke,R,AUS,188
200169,NOID,Ann,Jenkins,U,AUS,0
200170,NOID,Beverley,Rae,U,AUS,0
200171,Q3161931,Janet,Young,U,AUS,0
200172,NOID,Caroline,Cooper,U,AUS,0
200173,NOID,Kaye,Dening,U,AUS,0
200174,NOID,Kerry,Wilkinson,U,AUS,0
200175,Q1563951,Mary Ann,Eisel,U,USA,0
200176,Q259288,Kerry,Reid,R,AUS,166
200177,NOID,Alison,Mckenzie,U,AUS,0
200178,NOID,Sue,Hastings,U,AUS,0
200179,Q2883960,Barbara,Hawcroft,R,AUS,0
200180,Q1258713,Astrid,Suurbeek,U,NED,158
200181,Q18012611,Margaret,Starr,U,AUS,0
200182,NOID,E,Staples,U,AUS,0
200183,Q8774746,Elena,Subirats,U,MEX,0
200184,Q299638,Helen,Gourlay,R,AUS,166
200185,Q441468,Lesley,Hunt,R,AUS,168
200186,NOID,Yveline,Boy,U,FRA,0
200187,NOID,Janine,Murdoch,U,AUS,0
200188,Q85909654,Helen,Amos,R,AUS,0
200189,NOID,Denise,Brennan,U,AUS,0
200190,Q54527,Billie Jean,King,R,USA,168
200191,Q99657064,Frances,Luff,U,AUS,0
200192,Q18016279,Helen,Kayser,U,AUS,0
200193,Q259356,Ann,Jones,L,GBR,0
200194,Q263134,Francoise,Durr,R,FRA,162
200195,NOID,Helen,Rush,U,AUS,0
200196,NOID,Kerryl,Chute,U,AUS,0
200197,NOID,Pamela,Brand,U,AUS,0
200198,NOID,Caroline,Langsford,U,AUS,0
200199,Q18085293,Sally,Irvine,U,AUS,0
200200,Q18015494,Norma,Marsh,U,AUS,0
200201,NOID,Sharon,Thomson,U,AUS,0
200202,NOID,Theresa,Van Haren,U,AUS,0
200203,NOID,Vicki,Lancaster Kerr,U,AUS,0
200204,Q18012478,Sandra,Walsham,U,AUS,0
200205,NOID,Judy,Harris,U,AUS,0
200206,NOID,L,Cameron,U,AUS,0
200207,NOID,Cheryl,Norquay,U,AUS,0
200208,Q18010830,Mandy,Morgan,U,AUS,0
200209,Q259306,Wendy,Turnbull,R,AUS,164
200210,NOID,Norma,Eastburn,U,AUS,0
200211,Q2479423,Winnie,Shaw,R,GBR,0
200212,NOID,Elizabeth,Allan,R,AUS,0
200213,Q2640230,Jan,Lehane,R,AUS,0
200214,Q1565643,Christina,Sandberg,R,SWE,0
200215,Q18012436,Susan,Alexander,R,AUS,0
200216,Q18018389,Janet,Fallis,U,AUS,0
200217,NOID,Adrienne,Avis,U,AUS,0
200218,NOID,DUPE Helen,Taylor,U,AUS,0
200219,Q3369087,Patricia,Coleman,U,AUS,0
200220,Q3370160,Patti,Hogan,R,USA,0
200221,Q457833,Dianne,Fromholtz,L,AUS,165
200222,Q18016290,Anne,Coleman,U,AUS,0
200223,Q461080,Sharon,Walsh Pete,R,USA,174
200224,NOID,Kati,Athorne,U,AUS,0
200225,NOID,Helen,Worland,R,AUS,0
