Rank  Name                    Rating
389.  Simon Greul                  120.883
390.  Xavier Malisse                120.74
391.  Nicolas Jarry                120.145
392.  Thomas Enqvist               120.045
393.  Glenn Layendecker            119.883
394.  Istvan Gulyas                119.576
395.  Gilles Moretton               119.21
396.  Max Purcell                  119.148
397.  Laslo Djere                   119.02
398.  Luiz Mattar                  118.923
399.  Gabriel Diallo               118.701
400.  Mario Martinez               118.561
401.  Alexander Shevchenko         118.473
402.  Christopher Rungkat          118.066
403.  Joakim Nystrom               117.991
404.  Karl Meiler                  117.851
405.  Antony Dupuis                117.823
406.  Chris Lewis                  117.616
407.  Shahar Perkiss               117.563
408.  Peter Kanderal               116.979
409.  Davide Sanguinetti           116.884
410.  Kenneth Carlsen              116.826
411.  Eduardo Schwank              116.748
412.  Patricio Cornejo             116.735
413.  Ove Bengtson                 116.339
414.  John Millman                 116.206
415.  Julien Boutter               116.129
416.  Alex Bolt                    115.895
417.  Dick Stockton                115.821
418.  Jens Woehrmann                115.79
419.  Bjorn Phau                   115.731
420.  Philipp Petzschner           115.604
421.  Carlos Moya                  115.522
422.  Mackenzie Mcdonald           115.508
423.  Dick Leach                   115.339
424.  Milan Srejber                115.239
425.  Bill Scanlon                 114.891
426.  Robert Seguso                114.524
427.  Alexander Bublik             114.474
428.  Mark Cox                     114.467
429.  Damir Keretic                114.288
430.  Jiri Vesely                  114.243
431.  Pierre Hugues Herbert        114.114
432.  Orest Tereshchuk             113.988
433.  Sebastian Ofner              113.664
434.  Pierre Barthes               113.448
435.  Christo Van Rensburg         113.259
436.  Scott Draper                 113.166
437.  Jan Gunnarsson               112.988
438.  Keith Diepraam               112.842
439.  Arthur Cazaux                112.438
440.  Alan Fox                     112.329
441.  Hugo Gaston                  112.084
442.  Byron Bertram                 111.75
443.  Drew Gitlin                  111.748
444.  Jaime Yzaga                  111.003
445.  Erik Van Dillen              110.839
446.  Leonardo Lavalle             110.782
447.  Thomas Lejus                 110.745
448.  Alexandre Muller             110.406
449.  Stanley Matthews             110.383
450.  Bud Schultz                  110.257
451.  Michael Mortensen            110.198
452.  Aslan Karatsev               109.963
453.  Johan Kriek                  109.849
454.  Brian Macphie                109.757
455.  Yosuke Watanuki              109.747
456.  Jan Apell                    109.722
457.  Michele Leclercq             109.627
458.  Ricardo Rodriguez            109.489
459.  Paolo Cane                   109.355
460.  Albert Montanes              109.353
461.  Guillermo Canas              109.327
462.  Ben Qiang Zhu                109.247
463.  Hyung Taik Lee               108.689
464.  Lawson Duncan                108.368
465.  Ryan Harrison                 108.06
466.  Ilya Ivashka                 107.856
467.  Arnaud Clement               107.541
468.  Wesley Moodie                107.426
469.  Tomas Carbonell              107.407
470.  Adrian Mannarino             107.089
471.  Jimmy Wang                   107.004
472.  Klaus Eberhard               106.982
473.  Christopher Eubanks          106.844
474.  David Nainkin                 106.81
475.  Jean Philippe Fleurian       106.725
476.  Pat Cash                     106.657
477.  Jaime Pinto Bravo            106.586
478.  Juan Albert Viloca Puig      106.376
479.  Guy Forget                   105.963
480.  Francisco Clavet             105.959
481.  Dudi Sela                     105.72
482.  Martin Jaite                 105.639
483.  Jordi Burillo                 105.62
484.  Adam Malik                   105.546
485.  Robby Ginepri                105.431
486.  Frank Sedgman                105.385
487.  Frederik Nielsen             105.094
488.  Wanaro N'Godrella            105.068
489.  Paul Goldstein               105.059
490.  Wojtek Kowalski              105.012
491.  Johan Carlsson                104.48
492.  Lloyd Bourne                  104.29
493.  Fabio Fognini                103.687
494.  Marty Davis                  103.554
495.  Stefan Koubek                103.102
496.  Altug Celikbilek             103.069
497.  Marcel Felder                102.918
498.  Jerome Golmard               102.895
499.  Egor Gerasimov                102.85
500.  Umesha Wallooppillai         102.846
501.  Ville Liukko                   102.7
502.  Jose Luis Damiani            102.653
503.  Ashley Hewitt                102.645
504.  Julian Alonso                102.554
505.  Bob Mckinley                 102.349
506.  Bruno Oresar                 102.325
507.  Learner Tien                 102.162
508.  Butch Seewagen               102.076
509.  Pavel Hutka                  101.997
510.  Christian Ruud                101.94
511.  David Witt                   101.736
512.  Scott Davis                  101.649
513.  Freddie Sauer                101.606
514.  Soon Woo Kwon                101.527
515.  Stan Smith                    101.48
516.  Gijs Brouwer                 101.459
517.  Milan Holecek                101.353
518.  Francisco Yunis              101.297
519.  Graham Stilwell              101.278
520.  Tony Giammalva               101.224
521.  Lucas Pouille                100.826
522.  Arne Thoms                   100.795
523.  Mushaf Zia                   100.515
524.  Bob Kreiss                   100.245
525.  Guillaume Rufin              100.205
526.  Danny Saltz                  100.119
527.  Pablo Campana                100.113
528.  Jean Francois Caujolle       100.019
529.  Mark Woodforde                99.896
530.  Tobias Kamke                   99.86
531.  Oleg Ogorodov                 99.786
532.  Pascal Portes                 99.606
533.  Joaquin Loyo Mayo             99.372
534.  Wieslaw Gasiorek              98.691
535.  Mike Leach                    98.643
536.  Terry Moor                    98.334
537.  Francisco Rodriguez           98.292
538.  Haseeb Aslam                  97.971
539.  Gabriel Urpi                  97.966
540.  Andrei Stoliarov              97.841
541.  Ricardo Ycaza                 97.796
542.  Jonas Bjorkman                97.796
543.  Mike De Palmer                97.789
544.  Ricardo Cano                  97.765
545.  Matthew Ebden                 97.758
546.  Reinhart Probst               97.632
547.  Nicola Pietrangeli            96.915
548.  Michael Tebbutt               96.881
549.  Raymond Moore                 96.481
550.  Andrei Chesnokov              96.446
551.  Per Jemsby                    96.442
552.  Gaston Etlis                  96.226
553.  Gilad Bloom                   96.024
554.  Hernan Gumy                   95.958
555.  Borna Coric                   95.782
556.  Tim Van Rijthoven             95.711
557.  Slobodan Zivojinovic          95.488
558.  Karel Novacek                 95.363
559.  Toshiro Sakai                 94.615
560.  Marc Rosset                   94.327
561.  Yong Kyu Lim                  94.065
562.  Dustin Brown                  93.767
563.  Bernard Tomic                 93.738
564.  Luis Augusto Garcia           93.542
565.  Marcel Granollers             93.535
566.  Humphrey Hose                 93.445
567.  Gerald Battrick               93.438
568.  Tommy Haas                    93.408
569.  Franco Merlone                93.237
570.  Nicolas Lapentti               93.07
571.  Lars Rehmann                  92.824
572.  Khalid Outaleb                92.649
573.  Filip Krajinovic              92.506
574.  Bill Bowrey                   92.241
575.  Daniel Vacek                  92.141
576.  Liang Chi Huang                91.97
577.  Jun Kamiwazumi                91.963
578.  Ivan Sergeyev                 91.942
579.  Kevin Ullyett                 91.701
580.  John Fitzgerald               91.581
581.  Lionel Roux                   91.543
582.  Markus Naewie                 91.453
583.  Kelly Jones                   91.231
584.  Bryan Shelton                 91.231
585.  Todd Woodbridge               91.027
586.  Eric Friedler                 90.855
587.  Hee Seok Chung                90.589
588.  Francisco Roig                90.488
589.  Steve Darcis                  90.379
590.  Cedrik Marcel Stebe            90.36
591.  Sergi Bruguera                90.104
592.  Gilles Muller                 89.841
593.  Ron Holmberg                  89.814
594.  Pavol Cervenak                89.809
595.  Janko Tipsarevic              89.494
596.  Andrea Vavassori              89.397
597.  Sam Querrey                   89.336
598.  Sammy Giammalva Jr            89.318
599.  Francois Jauffret             88.981
600.  Pablo Cuevas                  88.973
601.  Frank Ofori                   88.852
602.  Matt Doyle                    88.816
603.  Ruben Gonzales                88.448
604.  Jorge Lozano                  88.319
605.  Ricardo Acuna                 88.211
606.  Peter Curtis                  87.966
607.  Ernie Fernandez               87.913
608.  Ferdi Taygan                  87.907
609.  Jo-Wilfried Tsonga             87.59
610.  Chris Delaney                 87.587
611.  Carsten Arriens               87.279
612.  Paradorn Srichaphan           86.993
613.  Owen Casey                    86.877
614.  Veli Paloheimo                86.591
615.  Hamed Ul Haq                  86.572
616.  Pavel Slozil                  86.302
617.  Dimitru Haradau               86.189
618.  Kyle Edmund                   86.168
619.  Josselin Ouanna               86.148
620.  Alexey Kedryuk                86.129
621.  Harshana Godamanna            86.119
622.  Udo Riglewski                 86.074
623.  Potito Starace                85.939
624.  Bob Giltinan                  85.688
625.  David Carter                  85.626
626.  Florin Segarceanu             85.464
627.  Benjamin Hassan               85.461
628.  Rainer Schuettler              85.46
629.  Mark Nielsen                   85.33
630.  David Rikl                    85.212
631.  Jonathan Canter               85.111
632.  Jim Osborne                   84.994
633.  Steve Denton                  84.989
634.  Olivier Rochus                84.719
635.  Roger Taylor                  84.509
636.  Juan Aguilera                 84.179
637.  Jean Pierre Courcol           84.168
638.  Matthew Barton                84.096
639.  Radu Albot                    84.018
640.  Lukasz Kubot                  84.007
641.  Michal Tabara                 83.945
642.  Frank Gebert                  83.851
